team,year,name,age,position,games,games_started,minutes_played_per_game,field_goals_per_game,field_goal_attempts_per_game,field_goal_percentage,three_point_field_goals_per_game,three_point_field_goal_attempts_per_game,three_point_field_goal_percentage,two_point_field_goals_per_game,two_point_field_goal_attempts_per_game,two_point_field_goal_percentage,effective_field_goal_percentage,free_throws_per_game,free_throw_attempts_per_game,free_throw_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,awards,position_post,games_post,games_started_post,minutes_played_per_game_post,field_goals_per_game_post,field_goal_attempts_per_game_post,field_goal_percentage_post,three_point_field_goals_per_game_post,three_point_field_goal_attempts_per_game_post,three_point_field_goal_percentage_post,two_point_field_goals_per_game_post,two_point_field_goal_attempts_per_game_post,two_point_field_goal_percentage_post,effective_field_goal_percentage_post,free_throws_per_game_post,free_throw_attempts_per_game_post,free_throw_percentage_post,offensive_rebounds_per_game_post,defensive_rebounds_per_game_post,total_rebounds_per_game_post,assists_per_game_post,steals_per_game_post,blocks_per_game_post,turnovers_per_game_post,personal_fouls_per_game_post,points_per_game_post,awards_post,pg%,sg%,pf%,c%,on_court_+/-,on-off_+/-,bad_pass_TO,lost_ball_TO,shooting_fouls,offensive_fouls,shooting_fouls_drawn,offensive_fouls_drawn,points generated by assists,and1s,pg%_post,sg%_post,sf%_post,pf%_post,c%_post,on_court_+/-_post,on-off_+/-_post,bad_pass_to_post,lost_ball_to_post,shooting_fouls_post,offensive_fouls_post,shooting_fouls_drawn_post,offensive_fouls_drawn_post,points_generated_by_assists_post,and1s_post,name_slug,twok_year,Rating,Team,Height,Wingspan
BOS,2022,Juancho Hernangómez,26.0,PF,18,0,5.3,0.3,1.5,0.185,0.2,1.0,0.167,0.1,0.5,0.222,0.241,0.3,0.5,0.667,0.5,0.9,1.4,0.2,0.2,0.1,0.3,0.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,84,5,-17.4,-25.7,3,2,3,1,5,0,8,1,,,,,,,,,,,,,,,,juancho-hernangomez,,,,,
BOS,2022,Matt Ryan,24.0,SF,1,0,5.0,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.3,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,0,0,35.6,27.9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,matt-ryan,NBA 2K23,68.0,"Los Angeles Lakers, Minnesota Timberwolves","6'6"" (198cm)","6'10"" (208cm)"
BOS,2022,Matt Ryan,24.0,SF,1,0,5.0,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.3,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,0,0,35.6,27.9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,matt-ryan,NBA 2K23,68.0,"Los Angeles Lakers, Minnesota Timberwolves","6'6"" (198cm)","6'10"" (208cm)"
BOS,2022,Brodric Thomas,25.0,SG,12,0,5.0,0.7,1.5,0.444,0.2,0.8,0.222,0.5,0.8,0.667,0.5,0.3,0.4,0.6,0.2,0.7,0.8,0.9,0.1,0.1,0.5,0.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,0,0,2.9,-4.9,3,3,4,0,3,0,26,1,,,,,,,,,,,,,,,,brodric-thomas,,,,,
BOS,2022,Juwan Morgan,24.0,PF,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PF,9.0,0.0,1.7,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.2,0.5,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.1,,0,100,0,0,97.6,90.0,0,0,0,0,0,0,0,0,0.0,0.0,65.0,35.0,0.0,-11.4,-15.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,juwan-morgan,,,,,
BOS,2022,Malik Fitts,24.0,PF,8,0,3.5,0.8,1.3,0.6,0.4,0.8,0.5,0.4,0.5,0.75,0.75,0.0,0.0,,0.3,0.6,0.9,0.6,0.0,0.0,0.0,0.1,1.9,,PF,9.0,0.0,1.8,0.3,0.4,0.75,0.2,0.2,1.0,0.1,0.2,0.5,1.0,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.9,,0,0,94,6,19.8,12.1,0,0,1,0,0,0,13,0,0.0,0.0,0.0,83.0,18.0,35.7,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,malik-fitts,,,,,
BOS,2022,Bruno Fernando,23.0,C,20,0,2.9,0.4,0.7,0.5,0.1,0.1,1.0,0.3,0.7,0.462,0.536,0.2,0.3,0.8,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12,88,-18.8,-26.9,0,1,2,2,2,0,10,1,,,,,,,,,,,,,,,,bruno-fernando,NBA 2K23,72.0,"Atlanta Hawks, Houston Rockets","6'9"" (206cm)","7'3"" (221cm)"
BOS,2022,Bruno Fernando,23.0,C,20,0,2.9,0.4,0.7,0.5,0.1,0.1,1.0,0.3,0.7,0.462,0.536,0.2,0.3,0.8,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12,88,-18.8,-26.9,0,1,2,2,2,0,10,1,,,,,,,,,,,,,,,,bruno-fernando,NBA 2K23,72.0,"Atlanta Hawks, Houston Rockets","6'9"" (206cm)","7'3"" (221cm)"
BOS,2022,Nik Stauskas,28.0,SG,6,0,2.5,0.3,1.0,0.333,0.3,1.0,0.333,0.0,0.0,,0.5,0.2,0.3,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,1.2,,SG,13.0,0.0,1.8,0.2,0.9,0.25,0.2,0.8,0.3,0.0,0.2,0.0,0.375,0.3,0.3,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.0,,0,16,0,0,18.9,11.2,0,1,0,0,1,0,2,0,86.0,14.0,0.0,0.0,0.0,26.2,22.8,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,nik-stauskas,,,,,
BOS,2022,C.J. Miles,34.0,SG,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-125.0,-132.8,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,cj-miles,,,,,
