Team,Year,Name,Age_x,Position_x,Games_x,Games Started_x,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game,Awards_x,Age_y,Position_y,Games_y,Games Started_y,Minutes Played,PG%,SG%,SF%,PF%,C%,OnCourt +/-,On-Off +/-,Bad Pass TO,Lost Ball TO,Shooting Fouls,Offensive Fouls,Shooting Fouls Drawn,Points Generated by Assists,And1s,Shots Blocked,Awards_y
DET,2003,Clifford Robinson,36,PF,81,69,34.9,4.6,11.5,.398,1.1,3.2,.336,3.5,8.3,.422,.444,2.0,2.9,.676,1.0,2.9,3.9,3.3,1.1,1.1,2.0,3.2,12.2,,36,PF,81,69,2825,0,0,1,96,4,3.0,-4.2,84,38,112,21,101,610,22,36,
DET,2003,Richard Hamilton,24,SG,82,82,32.2,7.0,15.7,.443,0.4,1.5,.269,6.6,14.2,.461,.456,5.4,6.4,.833,1.1,2.8,3.9,2.5,0.8,0.2,2.4,3.0,19.7,,24,SG,82,82,2640,1,89,11,0,0,2.7,-4.3,66,63,82,46,181,470,34,93,
DET,2003,Chauncey Billups,26,PG,74,74,31.4,4.9,11.8,.421,2.0,5.1,.392,2.9,6.6,.443,.506,4.3,4.9,.878,0.5,3.2,3.7,3.9,0.9,0.2,1.8,1.8,16.2,,26,PG,74,74,2327,98,3,0,0,0,4.0,-0.5,70,41,48,18,127,619,23,54,
DET,2003,Corliss Williamson,29,SF,82,1,25.1,4.6,10.1,.453,0.0,0.1,.182,4.5,9.9,.456,.454,2.9,3.7,.790,1.8,2.6,4.4,1.3,0.5,0.3,1.5,2.9,12.0,6MOY-5,29,SF,82,1,2061,0,3,89,8,0,8.4,8.7,42,34,97,32,128,254,27,65,6MOY-5
DET,2003,Chucky Atkins,28,PG,65,7,21.5,2.6,7.2,.361,1.3,3.7,.355,1.3,3.4,.368,.454,0.6,0.8,.816,0.3,1.2,1.5,2.7,0.4,0.1,1.2,1.7,7.1,,28,PG,65,7,1398,100,0,0,0,0,4.9,1.1,47,15,28,8,16,395,3,16,
DET,2003,Michael Curry,34,SF,78,77,19.9,1.2,2.9,.402,0.2,0.7,.296,1.0,2.2,.434,.437,0.5,0.6,.800,0.2,1.4,1.6,1.3,0.6,0.1,0.6,2.1,3.0,,34,SF,78,77,1555,0,1,99,0,0,-2.0,-10.0,18,8,64,13,18,240,2,9,
DET,2003,Mehmet Okur,23,PF,72,9,19.0,2.5,5.9,.426,0.5,1.6,.339,2.0,4.3,.457,.470,1.3,1.8,.733,1.6,3.0,4.7,1.0,0.3,0.5,0.9,2.3,6.9,,23,PF,72,9,1366,0,0,0,45,55,5.1,1.4,13,19,103,17,60,173,13,30,
DET,2003,Jon Barry,33,SG,80,0,18.4,2.4,5.3,.450,1.1,2.7,.407,1.3,2.6,.495,.553,1.1,1.3,.860,0.4,1.8,2.3,2.6,0.8,0.2,1.0,1.3,6.9,6MOY-9,33,SG,80,0,1473,14,85,1,0,0,10.4,9.8,59,15,50,4,34,458,6,13,6MOY-9
DET,2003,Željko Rebrača,30,C,30,12,16.3,2.7,4.8,.552,0.0,0.0,,2.7,4.8,.552,.552,1.3,1.6,.792,0.9,2.2,3.1,0.3,0.2,0.6,1.0,2.6,6.6,,30,C,30,12,488,0,0,0,0,100,4.2,0.1,5,3,34,13,17,21,4,10,
DET,2003,Tayshaun Prince,22,SF,42,5,10.4,1.3,2.8,.449,0.5,1.1,.426,0.8,1.7,.465,.534,0.3,0.4,.647,0.1,1.0,1.1,0.6,0.2,0.3,0.5,0.6,3.3,,22,SF,42,5,435,0,0,63,35,2,-3.3,-8.4,10,6,16,2,5,54,1,5,
DET,2003,Don Reid,29,PF,1,0,10.0,0.0,3.0,.000,0.0,0.0,,0.0,3.0,.000,.000,1.0,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,29,PF,1,0,10,0,0,0,100,0,-32.5,-36.7,0,0,2,0,1,0,0,0,
DET,2003,Hubert Davis,32,SG,43,1,7.6,0.7,1.8,.392,0.3,0.8,.333,0.4,1.0,.442,.468,0.1,0.1,.833,0.1,0.7,0.8,0.7,0.1,0.0,0.3,0.5,1.8,,32,SG,43,1,328,16,76,6,2,0,-1.5,-6.2,8,2,4,1,3,72,1,1,
DET,2003,Danny Manning,36,PF,13,0,6.8,1.0,2.5,.406,0.2,0.6,.375,0.8,1.8,.417,.453,0.4,0.5,.833,0.5,0.8,1.4,0.5,0.7,0.2,0.5,0.8,2.6,,36,PF,13,0,89,0,0,0,65,35,2.4,-1.8,2,3,6,2,1,15,0,1,
DET,2003,Pepe Sánchez,25,PG,9,0,4.1,0.0,0.6,.000,0.0,0.0,,0.0,0.6,.000,.000,0.0,0.0,,0.4,0.2,0.7,0.9,0.6,0.0,0.2,0.3,0.0,,25,PG,9,0,37,82,18,0,0,0,4.3,0.1,1,1,0,0,0,16,0,0,
DET,2003,Team Totals,,,82,82,242.7,32.9,76.5,.430,6.5,18.1,.358,26.4,58.4,.452,.473,19.0,24.6,.771,10.8,29.8,40.6,19.8,6.8,5.7,13.5,21.3,91.4,,,,82,82,19905,20,20,20,20,20,4.2,0.0,469,270,760,185,763,3662,149,355,
DET,2004,Ben Wallace,29,C,81,81,37.7,3.9,9.2,.421,0.0,0.1,.125,3.9,9.1,.424,.422,1.8,3.6,.490,4.0,8.4,12.4,1.7,1.8,3.0,1.5,2.0,9.5,"MVP-7,DPOY-2,AS,NBA2",29,C,81,81,3050,0,0,0,25,75,7.5,4.4,56,38,90,10,113,299,23,58,"MVP-7,DPOY-2,AS,NBA2"
DET,2004,Richard Hamilton,25,SG,78,78,35.5,6.8,14.9,.455,0.2,0.9,.265,6.6,14.1,.466,.462,3.8,4.4,.868,1.0,2.6,3.6,4.0,1.3,0.2,2.7,2.8,17.6,,25,SG,78,78,2772,0,89,11,0,0,6.7,0.8,80,68,65,42,121,687,25,85,
DET,2004,Chauncey Billups,27,PG,78,78,35.4,5.0,12.8,.394,1.7,4.3,.388,3.4,8.5,.396,.459,5.2,5.9,.878,0.4,3.1,3.5,5.7,1.1,0.1,2.4,2.3,16.9,,27,PG,78,78,2758,87,13,0,0,0,7.4,2.8,96,55,59,24,138,934,22,62,
DET,2004,Tayshaun Prince,23,SF,82,80,32.9,4.1,8.8,.467,0.7,1.9,.363,3.4,6.9,.496,.507,1.3,1.7,.766,1.1,3.6,4.8,2.3,0.8,0.8,1.5,1.8,10.3,,23,SF,82,80,2701,0,1,95,4,0,6.8,0.8,55,38,80,16,61,413,19,40,
DET,2004,Rasheed Wallace,29,PF,22,21,30.6,5.5,12.8,.431,1.0,3.1,.319,4.5,9.6,.467,.470,1.7,2.5,.704,1.5,5.6,7.0,1.8,1.1,2.0,1.3,2.7,13.7,,29,PF,22,21,673,0,0,0,90,10,18.0,13.8,17,7,37,3,21,90,3,12,
DET,2004,Mehmet Okur,24,PF,71,33,22.3,3.5,7.6,.463,0.3,0.7,.375,3.3,7.0,.472,.480,2.3,2.9,.775,2.3,3.7,5.9,1.0,0.5,0.9,1.4,1.9,9.6,,24,PF,71,33,1580,0,0,0,79,21,8.5,3.3,27,48,70,13,97,156,17,37,
DET,2004,Lindsey Hunter,33,SG,33,8,20.0,1.5,4.3,.343,0.4,1.5,.280,1.1,2.8,.376,.392,0.2,0.2,.625,0.4,1.6,2.0,2.6,1.2,0.2,1.0,1.4,3.5,,33,SG,33,8,661,31,67,2,0,0,10.2,4.5,24,8,13,0,3,182,1,5,
DET,2004,Corliss Williamson,30,PF,79,0,19.9,3.8,7.6,.505,0.0,0.0,,3.8,7.6,.505,.505,1.8,2.5,.731,1.1,2.1,3.2,0.7,0.4,0.3,1.4,2.6,9.5,6MOY-10,30,PF,79,0,1574,0,0,28,71,1,6.1,-0.8,41,32,86,23,80,122,21,42,6MOY-10
DET,2004,Mike James,28,PG,26,0,19.7,2.3,5.7,.401,0.8,2.1,.364,1.5,3.5,.424,.469,1.0,1.2,.844,0.3,1.9,2.2,3.7,1.0,0.0,1.6,1.7,6.3,,28,PG,26,0,512,100,0,0,0,0,6.4,-0.2,27,7,12,5,12,207,2,6,
